Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/10/15/7-cara-gampang-nonton-video-viral-yandex-ru-browser-jepang-semua-film-2024-anti-blokir-gak-pake-vpn,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,139000,2024-10-17,2024-10-22
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/16/pilu-agus-kini-divonis-buta-permanen-uang-donasi-rp15-m-kontroversi-hingga-warganet-minta-kembali,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,58000,2024-10-17,2024-10-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/09/23/pengakuan-pelaku-congkel-mata-faisal-di-bogor-parah-perkirakan-korban-tak-bisa-melihat-lagi,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,48000,2024-10-17,2024-10-23
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/23/selamat-jalan-gede-dan-ni-made-kecelakaan-telan-2-nyawa-ikuti-google-map-hingga-tabrak-truk,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,28000,2024-10-22,2024-10-23
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/23/akhirnya-hotman-paris-turun-tangan-kasus-guru-honorer-yang-dipenjarakan-orangtua-murid-oknum-polisi?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,22000,2024-10-23,2024-10-23
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/23/akhirnya-hotman-paris-turun-tangan-kasus-guru-honorer-yang-dipenjarakan-orangtua-murid-oknum-polisi?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,16000,2024-10-23,2024-10-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/09/22/motif-pelaku-congkel-mata-faisal-di-bogor-mengaku-marah-istrinya-dipukul-korban-pakai-botol-miras,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,16000,2024-10-21,2024-10-23
gorontalo.tribunnews.com,Page,N/A,N/A,gorontalo.tribunnews.com/2024/10/20/foto-terakhir-sri-meyke-male-korban-tewas-dalam-kecelakaan-pesawat-sam-air-di-pohuwato-gorontalo,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,14000,2024-10-19,2024-10-22
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/16/pilu-agus-kini-divonis-buta-permanen-uang-donasi-rp15-m-kontroversi-hingga-warganet-minta-kembali?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,14000,2024-10-17,2024-10-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/09/23/pengakuan-pelaku-congkel-mata-faisal-di-bogor-parah-perkirakan-korban-tak-bisa-melihat-lagi?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,13000,2024-10-21,2024-10-23
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/23/akhirnya-hotman-paris-turun-tangan-kasus-guru-honorer-yang-dipenjarakan-orangtua-murid-oknum-polisi?page=4,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,13000,2024-10-23,2024-10-23
banjarmasin.tribunnews.com,Page,N/A,N/A,banjarmasin.tribunnews.com/2024/10/17/sadis-detik-detik-ar-pria-asal-balangan-kalsel-penggal-kepala-istrinya-polisi-ungkap-pemicunya,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,12000,2024-10-17,2024-10-23
