Site or app,Entity,Platform,App package name or store ID,Issue location,Issue type,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/internasional/7796678/wni-asal-semarang-jadi-sopir-bus-profesional-pertama-di-jepang-kini-punya-usaha-rental-sendiri?page=2,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,18000,2026-02-26,2026-03-02
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/internasional/7796678/wni-asal-semarang-jadi-sopir-bus-profesional-pertama-di-jepang-kini-punya-usaha-rental-sendiri,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,14000,2026-03-01,2026-03-04
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/news/1783553/kondisi-farah-usai-jalani-operasi-di-rs-mahasiwi-uin-suska-yang-dibacok-raihan-m-di-kampus,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,11000,2026-02-27,2026-03-04
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/news/1783559/mudus-permainan-cukai-rokok-pejabat-bea-cukai-dibongkar-kpk-usai-budiman-bayu-ditahan,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,10000,2026-02-27,2026-03-03
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/nasional/882673/rencana-menteri-desa-akan-tutup-indmaret-dan-alfamart-demi-koperasi-desa,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,10000,2026-02-26,2026-03-04
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/news/1783951/kronologi-bos-rokok-pengemudi-moge-tabrak-jupiter-mx-istri-korban-meninggal-di-tempat,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9300,2026-03-02,2026-03-04
pekanbaru.tribunnews.com,Page,N/A,N/A,pekanbaru.tribunnews.com/riau-region/1099764/breaking-news-mahasiswi-uin-dibacok-saat-gelar-seminar-hasil-pelaku-tiba-tiba-bawa-kapak,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,7300,2026-02-26,2026-03-02
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/news/1783240/kronologi-mahasiswi-uin-suska-riau-dibacok-pria-di-ruang-sidang-seminar,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,5800,2026-02-26,2026-03-04
pekanbaru.tribunnews.com,Page,N/A,N/A,pekanbaru.tribunnews.com/riau-region/1099765/kronologi-mahasiswi-uin-suska-riau-dibacok-kapak-jelang-ujian-munaqosah-diduga-percobaan-pembunuhan,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4900,2026-02-26,2026-03-03
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/news/1677658/sosok-ferdi-pacar-farra-mahasiswi-uin-suska-korban-pembacokan-raihan-punya-profesi-mentereng,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4300,2026-02-27,2026-03-03
